pid,team,name,number,pos,b_t,wt,ht,born,debut,edu,nationality,original_name,draft
0000005310,富邦悍將二軍,陳真,7,左外野手,右投右打,185,85,1998/10/22,2021/03/14,文化大學,中華民國,,富邦悍將2020年第三輪
0000003436,富邦悍將二軍,陳凱倫,24,游擊手,右投右打,173,76,1987/10/31,2012/03/18,開南大學,中華民國,,興農牛2010年第五輪
0000003606,富邦悍將,陳鴻文,13,投手,右投右打,180,97,1986/02/03,2013/03/27,臺北體院,中華民國,,兄弟象2012年第一輪
0000006227,富邦悍將,曾峻岳,60,投手,右投右打,174,68,2001/11/07,2021/03/14,西苑高中,中華民國,,富邦悍將2020年第七輪
0000006744,富邦悍將二軍,◎温展樂,00,投手,右投右打,183,80,2001/10/18,,開南大學,中華民國,,
0000000368,富邦悍將二軍,游霆崴,80,投手,右投右打,178,68,1997/10/11,2019/06/09,西苑高中,中華民國,,
0000006233,富邦悍將二軍,#黃兆維,31,一壘手,右投右打,185,85,2001/11/03,,臺北市大,中華民國,,富邦悍將2020年第六輪
0000000366,富邦悍將二軍,楊晉豪,23,二壘手,右投左打,175,74,1998/09/16,2019/03/24,高苑工商,中華民國,,富邦悍將2017年第一輪
0000006740,富邦悍將二軍,楊強森,55,投手,右投右打,178,78,2002/09/22,,高苑工商,中華民國,,富邦悍將2021年第六輪
0000004629,富邦悍將二軍,楊彬,74,投手,右投右打,180,90,1996/01/01,2019/06/29,高雄大學,中華民國,,富邦悍將2018年第六輪
0000005508,富邦悍將,楊瑞承,83,一壘手,右投左打,183,90,1993/10/04,2019/10/05,國立體大,中華民國,,Lamigo桃猿2019年第七輪
0000003048,富邦悍將二軍,葉竹軒,45,二壘手,右投右打,172,84,1987/03/29,2011/03/25,國立體大,中華民國,,La new熊2009年第六輪
0000005556,富邦悍將二軍,#葉國情,79,投手,右投右打,180,78,2001/02/14,,花蓮高中,中華民國,,富邦悍將2019年第七輪
0000006737,富邦悍將二軍,董子恩,78,一壘手,右投右打,182,80,2003/02/28,,平鎮高中,中華民國,,富邦悍將2021年第三輪
0000005573,富邦悍將二軍,劉劭威,0,投手,右投右打,190,110,1996/03/26,2021/05/04,文化大學,中華民國,,中信兄弟2019年第六輪
0000006743,富邦悍將二軍,劉俊豪,85,游擊手,右投左打,179,72,2002/02/20,,國立體大,中華民國,,
0000004628,富邦悍將二軍,歐書誠,57,投手,右投左打,180,65,1993/02/11,2018/09/20,長榮大學,中華民國,,富邦悍將2018年第八輪
0000003337,富邦悍將二軍,蔣智賢,5,三壘手,右投左打,183,95,1988/02/21,2015/07/31,三民高中,中華民國,,中信兄弟2015年第一輪
0000004622,富邦悍將二軍,蕭憶銘,61,捕手,右投右打,175,80,1999/11/21,2021/08/12,高苑工商,中華民國,,
0000006547,富邦悍將,優瑪,89,投手,右投右打,191,95,1992/05/06,2021/07/14,,多明尼加,Yomar Flande,
0000005927,富邦悍將二軍,戴云真,65,中外野手,右投右打,183,80,1997/04/20,2021/09/17,文化大學,中華民國,,
0000004645,富邦悍將,戴培峰,95,捕手,右投左打,182,75,2000/01/07,2019/03/24,平鎮高中,中華民國,,富邦悍將2018年第一輪
0000005284,富邦悍將,藍愷青,21,投手,左投左打,176,74,1998/09/06,2021/03/19,國立體大,中華民國,,
0000000121,富邦悍將,羅力,39,投手,右投右打,192,99,1984/09/14,2012/08/18,,美國,Mike Loree,
0000001394,富邦悍將二軍,羅國華,37,投手,右投右打,178,90,1992/10/28,2017/07/14,開南大學,中華民國,,富邦悍將2017年第三輪
0000006718,樂天桃猿二軍,*毛英傑,89,捕手,右投右打,170,70,2003/04/04,,高苑工商,中華民國,,樂天桃猿2021年第六輪
0000006228,樂天桃猿二軍,王志煊,64,投手,左投左打,175,72,2001/09/05,2021/03/17,成德高中,中華民國,,樂天桃猿2020年第五輪
0000003465,樂天桃猿二軍,王溢正,32,投手,左投左打,190,84,1985/10/09,2013/07/21,文化大學,中華民國,,La new熊2008年第二輪
0000001390,樂天桃猿二軍,王躍霖,41,投手,右投右打,184,94,1991/02/05,2015/09/09,臺灣體院,中華民國,,Lamigo桃猿2015年第六輪
0000000159,樂天桃猿,成晉,35,中外野手,右投右打,184,90,1998/11/13,2018/06/19,平鎮高中,中華民國,,
0000001318,樂天桃猿,朱育賢,85,一壘手,左投左打,188,100,1991/11/26,2016/03/19,文化大學,中華民國,,Lamigo桃猿2015年第七輪
0000000128,樂天桃猿,朱俊祥,22,投手,右投左打,175,70,1995/04/15,2013/10/15,臺中高農,中華民國,,Lamigo桃猿2013年第二輪
0000004635,樂天桃猿二軍,江國謙,18,投手,右投右打,180,88,1999/10/01,2019/06/27,平鎮高中,中華民國,,Lamigo桃猿2018年第六輪
